,HIRE_DATE,DEPARTMENT_ID
0,1987-06-17,90
1,1987-06-18,90
2,1987-06-19,90
3,1987-06-20,60
4,1987-06-21,60
5,1987-06-22,60
6,1987-06-23,60
7,1987-06-24,60
8,1987-06-25,100
9,1987-06-26,100
10,1987-06-27,100
11,1987-06-28,100
12,1987-06-29,100
13,1987-06-30,100
14,1987-07-01,30
15,1987-07-02,30
16,1987-07-03,30
17,1987-07-04,30
18,1987-07-05,30
19,1987-07-06,30
20,1987-07-07,50
21,1987-07-08,50
22,1987-07-09,50
23,1987-07-10,50
24,1987-07-11,50
25,1987-07-12,50
26,1987-07-13,50
27,1987-07-14,50
28,1987-07-15,50
29,1987-07-16,50
30,1987-07-17,50
31,1987-07-18,50
32,1987-07-19,50
33,1987-07-20,50
34,1987-07-21,50
35,1987-07-22,50
36,1987-07-23,50
37,1987-07-24,50
38,1987-07-25,50
39,1987-07-26,50
40,1987-07-27,50
41,1987-07-28,50
42,1987-07-29,50
43,1987-07-30,50
44,1987-07-31,50
45,1987-08-01,80
46,1987-08-02,80
47,1987-08-03,80
48,1987-08-04,80
49,1987-08-05,80
50,1987-08-06,80
51,1987-08-07,80
52,1987-08-08,80
53,1987-08-09,80
54,1987-08-10,80
55,1987-08-11,80
56,1987-08-12,80
57,1987-08-13,80
58,1987-08-14,80
59,1987-08-15,80
60,1987-08-16,80
61,1987-08-17,80
62,1987-08-18,80
63,1987-08-19,80
64,1987-08-20,80
65,1987-08-21,80
66,1987-08-22,80
67,1987-08-23,80
68,1987-08-24,80
69,1987-08-25,80
70,1987-08-26,80
71,1987-08-27,80
72,1987-08-28,80
73,1987-08-29,80
74,1987-08-30,80
75,1987-08-31,80
76,1987-09-01,80
77,1987-09-02,80
78,1987-09-03,0
79,1987-09-04,80
80,1987-09-05,50
81,1987-09-06,50
82,1987-09-07,50
83,1987-09-08,50
84,1987-09-09,50
85,1987-09-10,50
86,1987-09-11,50
87,1987-09-12,50
88,1987-09-13,50
89,1987-09-14,50
90,1987-09-15,50
91,1987-09-16,50
92,1987-09-17,50
93,1987-09-18,50
94,1987-09-19,50
95,1987-09-20,50
96,1987-09-21,50
97,1987-09-22,50
98,1987-09-23,50
99,1987-09-24,50
100,1987-09-25,10
101,1987-09-26,20
102,1987-09-27,20
103,1987-09-29,70
104,1987-09-30,110
105,1987-10-01,110
