,ID,salary
0,14365,32241.56
1,50885,32570.5
2,42782,34272.67
3,28097,35023.18
4,36897,43770.36
5,57180,43966.29
6,64871,45310.53
7,80759,45538.32
8,72553,46397.59
9,79081,47307.1
10,59795,48803.38
11,41930,50482.03
12,97302,51647.57
13,95030,54805.11
14,90643,57807.09
15,78699,59303.62
16,22591,59706.49
17,4034,61387.56
18,35579,62579.61
19,58558,66143.25
20,31955,71351.42
21,15347,72140.88
22,81991,77036.18
23,43779,79070.08
24,65931,79866.95
25,3335,80797.83
26,3199,82534.37
27,28400,84982.92
28,48570,87549.8
29,52647,87958.01
30,4233,88791.45
31,79653,89805.83
32,73623,90038.09
33,25946,90891.69
34,99052,93348.83
35,63395,94333.99
36,16807,98333.65
37,77346,99382.59
38,63287,103146.87
39,37687,104563.38
40,6569,105311.38
41,74426,106554.73
42,48507,107978.47
43,50330,108011.81
44,34175,115469.11
45,90376,117836.5
46,95709,118143.98
47,96895,119921.41
48,74420,121141.99
49,19368,124651.41
