,EMPLOYEE_ID,COMMISSION_PCT
0,100,0.0
1,101,0.0
2,102,0.0
3,103,0.0
4,104,0.0
5,105,0.0
6,106,0.0
7,107,0.0
8,108,0.0
9,109,0.0
10,110,0.0
11,111,0.0
12,112,0.0
13,113,0.0
14,114,0.0
15,115,0.0
16,116,0.0
17,117,0.0
18,118,0.0
19,119,0.0
20,120,0.0
21,121,0.0
22,122,0.0
23,123,0.0
24,124,0.0
25,125,0.0
26,126,0.0
27,127,0.0
28,128,0.0
29,129,0.0
30,130,0.0
31,131,0.0
32,132,0.0
33,133,0.0
34,134,0.0
35,135,0.0
36,136,0.0
37,137,0.0
38,138,0.0
39,139,0.0
40,140,0.0
41,141,0.0
42,142,0.0
43,143,0.0
44,144,0.0
45,145,0.4
46,146,0.30000000000000004
47,147,0.30000000000000004
48,148,0.30000000000000004
49,149,0.2
50,150,0.30000000000000004
51,151,0.25
52,152,0.25
53,153,0.2
54,154,0.2
55,155,0.15
56,156,0.35000000000000003
57,157,0.35000000000000003
58,158,0.35000000000000003
59,159,0.30000000000000004
60,160,0.30000000000000004
61,161,0.25
62,162,0.25
63,163,0.15
64,164,0.1
65,165,0.1
66,166,0.1
67,167,0.1
68,168,0.25
69,169,0.2
70,170,0.2
71,171,0.15
72,172,0.15
73,173,0.1
74,174,0.30000000000000004
75,175,0.25
76,176,0.2
77,177,0.2
78,178,0.15
79,179,0.1
80,180,0.0
81,181,0.0
82,182,0.0
83,183,0.0
84,184,0.0
85,185,0.0
86,186,0.0
87,187,0.0
88,188,0.0
89,189,0.0
90,190,0.0
91,191,0.0
92,192,0.0
93,193,0.0
94,194,0.0
95,195,0.0
96,196,0.0
97,197,0.0
98,198,0.0
99,199,0.0
100,200,0.0
101,201,0.0
102,202,0.0
103,204,0.0
104,205,0.0
105,206,0.0
