,EMPLOYEE_ID,COMMISSION_PCT
0,100,0.0
1,103,0.0
2,104,0.0
3,105,0.0
4,106,0.0
5,107,0.0
6,108,0.0
7,109,0.0
8,110,0.0
9,111,0.0
10,112,0.0
11,113,0.0
12,115,0.0
13,116,0.0
14,117,0.0
15,118,0.0
16,119,0.0
17,120,0.0
18,121,0.0
19,123,0.0
20,124,0.0
21,125,0.0
22,126,0.0
23,127,0.0
24,128,0.0
25,129,0.0
26,130,0.0
27,131,0.0
28,132,0.0
29,133,0.0
30,134,0.0
31,135,0.0
32,136,0.0
33,137,0.0
34,138,0.0
35,139,0.0
36,140,0.0
37,141,0.0
38,142,0.0
39,143,0.0
40,144,0.0
41,145,0.4
42,146,0.30000000000000004
43,147,0.30000000000000004
44,148,0.30000000000000004
45,149,0.2
46,150,0.30000000000000004
47,151,0.25
48,152,0.25
49,153,0.2
50,154,0.2
51,155,0.15
52,156,0.35000000000000003
53,157,0.35000000000000003
54,158,0.35000000000000003
55,159,0.30000000000000004
56,160,0.30000000000000004
57,161,0.25
58,162,0.25
59,163,0.15
60,164,0.1
61,165,0.1
62,166,0.1
63,167,0.1
64,168,0.25
65,169,0.2
66,170,0.2
67,171,0.15
68,172,0.15
69,173,0.1
70,174,0.30000000000000004
71,175,0.25
72,177,0.2
73,178,0.15
74,179,0.1
75,180,0.0
76,181,0.0
77,182,0.0
78,183,0.0
79,184,0.0
80,185,0.0
81,186,0.0
82,187,0.0
83,188,0.0
84,189,0.0
85,190,0.0
86,191,0.0
87,192,0.0
88,193,0.0
89,194,0.0
90,195,0.0
91,196,0.0
92,197,0.0
93,198,0.0
94,199,0.0
95,202,0.0
96,203,0.0
97,204,0.0
98,205,0.0
99,206,0.0
