,avg(Price),avg(Score)
0,29.142857142857146,88.14285714285714
1,31.5,90.0
2,18.0,87.0
3,53.33333333333334,92.33333333333331
4,31.0,92.0
5,125.0,88.0
6,46.5,91.0
7,20.0,84.0
8,39.48275862068965,87.82758620689656
9,36.16666666666666,90.0
10,13.0,87.0
11,52.5,92.0
12,25.0,92.0
13,27.8,87.2
14,27.653846153846153,89.30769230769229
15,29.5,89.0
16,25.0,78.0
17,40.0,91.0
18,20.0,87.0
19,21.0,88.0
20,29.0,93.0
21,37.5,89.5
22,26.0,87.0
23,40.0,89.0
24,21.5,87.5
25,15.333333333333336,86.33333333333331
26,22.5,89.0
27,38.333333333333336,90.66666666666669
28,53.33333333333334,90.66666666666669
29,59.13541666666666,90.47916666666669
30,18.0,86.0
31,12.0,85.0
32,95.0,90.5
33,32.285714285714285,88.42857142857143
34,49.0,90.5
35,38.0,90.0
36,49.60377358490565,91.7924528301887
37,45.714285714285715,89.42857142857143
38,31.5,89.5
39,28.0,89.41666666666669
40,40.0,93.0
41,46.28571428571429,91.23809523809523
42,41.5,91.25
43,29.33333333333333,88.73333333333332
44,25.0,86.0
45,10.0,82.0
46,35.0,89.0
47,49.02564102564103,90.8205128205128
48,43.481481481481474,90.4074074074074
49,42.68421052631579,89.7894736842105
50,15.0,86.0
51,70.66666666666667,89.33333333333331
52,77.5,91.5
53,60.352941176470594,90.88235294117645
54,84.5,92.25
55,25.0,91.0
56,90.0,90.0
