,EMPLOYEE_ID,MANAGER_ID
0,100,0
1,101,100
2,102,100
3,103,102
4,104,103
5,105,103
6,106,103
7,107,103
8,108,101
9,109,108
10,110,108
11,111,108
12,112,108
13,113,108
14,114,100
15,115,114
16,116,114
17,117,114
18,118,114
19,119,114
20,120,100
21,121,100
22,122,100
23,123,100
24,124,100
25,125,120
26,126,120
27,127,120
28,128,120
29,129,121
30,130,121
31,131,121
32,132,121
33,133,122
34,134,122
35,135,122
36,136,122
37,137,123
38,138,123
39,139,123
40,140,123
41,141,124
42,142,124
43,143,124
44,144,124
45,145,100
46,146,100
47,147,100
48,148,100
49,149,100
50,150,145
51,151,145
52,152,145
53,153,145
54,154,145
55,155,145
56,156,146
57,157,146
58,158,146
59,159,146
60,160,146
61,161,146
62,162,147
63,163,147
64,164,147
65,165,147
66,166,147
67,167,147
68,168,148
69,169,148
70,170,148
71,171,148
72,172,148
73,173,148
74,174,149
75,175,149
76,176,149
77,177,149
78,178,149
79,179,149
80,180,120
81,181,120
82,182,120
83,183,120
84,184,121
85,185,121
86,186,121
87,187,121
88,188,122
89,189,122
90,190,122
91,191,122
92,192,123
93,193,123
94,194,123
95,195,123
96,196,124
97,197,124
98,198,124
99,199,124
100,200,101
101,201,100
102,202,201
103,204,101
104,205,101
105,206,205
