,EMPLOYEE_ID,SALARY
0,100,24000
1,101,17000
2,102,17000
3,103,9000
4,104,6000
5,105,4800
6,106,4800
7,107,4200
8,108,12000
9,109,9000
10,110,8200
11,111,7700
12,112,7800
13,113,6900
14,114,11000
15,115,3100
16,116,2900
17,117,2800
18,118,2600
19,119,2500
20,120,8000
21,121,8200
22,122,7900
23,123,6500
24,124,5800
25,125,3200
26,126,2700
27,127,2400
28,128,2200
29,129,3300
30,130,2800
31,131,2500
32,132,2100
33,133,3300
34,134,2900
35,135,2400
36,136,2200
37,137,3600
38,138,3200
39,139,2700
40,140,2500
41,141,3500
42,142,3100
43,143,2600
44,144,2500
45,145,14000
46,146,13500
47,147,12000
48,148,11000
49,149,10500
50,150,10000
51,151,9500
52,152,9000
53,153,8000
54,154,7500
55,155,7000
56,156,10000
57,157,9500
58,158,9000
59,159,8000
60,160,7500
61,161,7000
62,162,10500
63,163,9500
64,164,7200
65,165,6800
66,166,6400
67,167,6200
68,168,11500
69,169,10000
70,170,9600
71,171,7400
72,172,7300
73,173,6100
74,174,11000
75,175,8800
76,176,8600
77,177,8400
78,178,7000
79,179,6200
80,180,3200
81,181,3100
82,182,2500
83,183,2800
84,184,4200
85,185,4100
86,186,3400
87,187,3000
88,188,3800
89,189,3600
90,190,2900
91,191,2500
92,192,4000
93,193,3900
94,194,3200
95,195,2800
96,196,3100
97,197,3000
98,198,2600
99,199,2600
100,200,4400
101,201,13000
102,202,6000
103,203,6500
104,204,10000
105,205,12000
106,206,8300
