,EMPLOYEE_ID,COMMISSION_PCT
0,100,0.0
1,205,0.0
2,168,0.25
3,114,0.0
4,148,0.30000000000000004
5,169,0.2
6,151,0.25
7,163,0.15
8,103,0.0
9,109,0.0
10,175,0.25
11,121,0.0
12,153,0.2
13,159,0.30000000000000004
14,112,0.0
15,111,0.0
16,160,0.30000000000000004
17,161,0.25
18,113,0.0
19,165,0.1
20,123,0.0
21,203,0.0
22,166,0.1
23,179,0.1
24,173,0.1
25,105,0.0
26,107,0.0
27,184,0.0
28,185,0.0
29,192,0.0
30,137,0.0
31,133,0.0
32,138,0.0
33,180,0.0
34,194,0.0
35,115,0.0
36,142,0.0
37,116,0.0
38,117,0.0
39,183,0.0
40,143,0.0
41,198,0.0
42,199,0.0
43,131,0.0
44,140,0.0
45,191,0.0
46,127,0.0
47,128,0.0
