,HIRE_DATE,EMPLOYEE_ID
0,1987-06-17,100
1,1987-09-30,205
2,1987-08-24,168
3,1987-07-01,114
4,1987-08-04,148
5,1987-08-25,169
6,1987-08-07,151
7,1987-08-19,163
8,1987-06-20,103
9,1987-06-26,109
10,1987-08-31,175
11,1987-07-08,121
12,1987-08-09,153
13,1987-08-15,159
14,1987-06-29,112
15,1987-06-28,111
16,1987-08-16,160
17,1987-08-17,161
18,1987-06-30,113
19,1987-08-21,165
20,1987-07-10,123
21,1987-09-28,203
22,1987-08-22,166
23,1987-09-04,179
24,1987-08-29,173
25,1987-06-22,105
26,1987-06-24,107
27,1987-09-09,184
28,1987-09-10,185
29,1987-09-17,192
30,1987-07-24,137
31,1987-07-20,133
32,1987-07-25,138
33,1987-09-05,180
34,1987-09-19,194
35,1987-07-02,115
36,1987-07-29,142
37,1987-07-03,116
38,1987-07-04,117
39,1987-09-08,183
40,1987-07-30,143
41,1987-09-23,198
42,1987-09-24,199
43,1987-07-18,131
44,1987-07-27,140
45,1987-09-16,191
46,1987-07-14,127
47,1987-07-15,128
