,EMPLOYEE_ID,DEPARTMENT_ID
0,100,90
1,103,60
2,104,60
3,105,60
4,106,60
5,107,60
6,108,100
7,109,100
8,110,100
9,111,100
10,112,100
11,113,100
12,115,30
13,116,30
14,117,30
15,118,30
16,119,30
17,120,50
18,121,50
19,123,50
20,124,50
21,125,50
22,126,50
23,127,50
24,128,50
25,129,50
26,130,50
27,131,50
28,132,50
29,133,50
30,134,50
31,135,50
32,136,50
33,137,50
34,138,50
35,139,50
36,140,50
37,141,50
38,142,50
39,143,50
40,144,50
41,145,80
42,146,80
43,147,80
44,148,80
45,149,80
46,150,80
47,151,80
48,152,80
49,153,80
50,154,80
51,155,80
52,156,80
53,157,80
54,158,80
55,159,80
56,160,80
57,161,80
58,162,80
59,163,80
60,164,80
61,165,80
62,166,80
63,167,80
64,168,80
65,169,80
66,170,80
67,171,80
68,172,80
69,173,80
70,174,80
71,175,80
72,177,80
73,178,0
74,179,80
75,180,50
76,181,50
77,182,50
78,183,50
79,184,50
80,185,50
81,186,50
82,187,50
83,188,50
84,189,50
85,190,50
86,191,50
87,192,50
88,193,50
89,194,50
90,195,50
91,196,50
92,197,50
93,198,50
94,199,50
95,202,20
96,203,40
97,204,70
98,205,110
99,206,110
