,EMPLOYEE_ID,DEPARTMENT_ID
0,100,90
1,101,90
2,102,90
3,103,60
4,104,60
5,105,60
6,106,60
7,107,60
8,108,100
9,109,100
10,110,100
11,111,100
12,112,100
13,113,100
14,114,30
15,115,30
16,116,30
17,117,30
18,118,30
19,119,30
20,120,50
21,121,50
22,122,50
23,123,50
24,124,50
25,125,50
26,126,50
27,127,50
28,128,50
29,129,50
30,130,50
31,131,50
32,132,50
33,133,50
34,134,50
35,135,50
36,136,50
37,137,50
38,138,50
39,139,50
40,140,50
41,141,50
42,142,50
43,143,50
44,144,50
45,145,80
46,146,80
47,147,80
48,148,80
49,149,80
50,150,80
51,151,80
52,152,80
53,153,80
54,154,80
55,155,80
56,156,80
57,157,80
58,158,80
59,159,80
60,160,80
61,161,80
62,162,80
63,163,80
64,164,80
65,165,80
66,166,80
67,167,80
68,168,80
69,169,80
70,170,80
71,171,80
72,172,80
73,173,80
74,174,80
75,175,80
76,176,80
77,177,80
78,178,0
79,179,80
80,180,50
81,181,50
82,182,50
83,183,50
84,184,50
85,185,50
86,186,50
87,187,50
88,188,50
89,189,50
90,190,50
91,191,50
92,192,50
93,193,50
94,194,50
95,195,50
96,196,50
97,197,50
98,198,50
99,199,50
100,200,10
101,201,20
102,202,20
103,204,70
104,205,110
105,206,110
