,SALARY,DEPARTMENT_ID
0,24000,90
1,17000,90
2,17000,90
3,9000,60
4,6000,60
5,4800,60
6,4800,60
7,4200,60
8,12000,100
9,9000,100
10,8200,100
11,7700,100
12,7800,100
13,6900,100
14,11000,30
15,3100,30
16,2900,30
17,2800,30
18,2600,30
19,2500,30
20,8000,50
21,8200,50
22,7900,50
23,6500,50
24,5800,50
25,3200,50
26,2700,50
27,2400,50
28,2200,50
29,3300,50
30,2800,50
31,2500,50
32,2100,50
33,3300,50
34,2900,50
35,2400,50
36,2200,50
37,3600,50
38,3200,50
39,2700,50
40,2500,50
41,3500,50
42,3100,50
43,2600,50
44,2500,50
45,14000,80
46,13500,80
47,12000,80
48,11000,80
49,10500,80
50,10000,80
51,9500,80
52,9000,80
53,8000,80
54,7500,80
55,7000,80
56,10000,80
57,9500,80
58,9000,80
59,8000,80
60,7500,80
61,7000,80
62,10500,80
63,9500,80
64,7200,80
65,6800,80
66,6400,80
67,6200,80
68,11500,80
69,10000,80
70,9600,80
71,7400,80
72,7300,80
73,6100,80
74,11000,80
75,8800,80
76,8600,80
77,8400,80
78,7000,0
79,6200,80
80,3200,50
81,3100,50
82,2500,50
83,2800,50
84,4200,50
85,4100,50
86,3400,50
87,3000,50
88,3800,50
89,3600,50
90,2900,50
91,2500,50
92,4000,50
93,3900,50
94,3200,50
95,2800,50
96,3100,50
97,3000,50
98,2600,50
99,2600,50
100,4400,10
101,13000,20
102,6000,20
103,6500,40
104,10000,70
105,12000,110
106,8300,110
