,HIRE_DATE,DEPARTMENT_ID
0,1987-09-30,110
1,1987-09-28,40
2,1987-09-24,50
3,1987-09-23,50
4,1987-09-19,50
5,1987-09-17,50
6,1987-09-16,50
7,1987-09-10,50
8,1987-09-09,50
9,1987-09-08,50
10,1987-09-05,50
11,1987-09-04,80
12,1987-08-31,80
13,1987-08-29,80
14,1987-08-25,80
15,1987-08-24,80
16,1987-08-22,80
17,1987-08-21,80
18,1987-08-19,80
19,1987-08-17,80
20,1987-08-16,80
21,1987-08-15,80
22,1987-08-09,80
23,1987-08-07,80
24,1987-08-04,80
25,1987-07-30,50
26,1987-07-29,50
27,1987-07-27,50
28,1987-07-25,50
29,1987-07-24,50
30,1987-07-20,50
31,1987-07-18,50
32,1987-07-15,50
33,1987-07-14,50
34,1987-07-10,50
35,1987-07-08,50
36,1987-07-04,30
37,1987-07-03,30
38,1987-07-02,30
39,1987-07-01,30
40,1987-06-30,100
41,1987-06-29,100
42,1987-06-28,100
43,1987-06-26,100
44,1987-06-24,60
45,1987-06-22,60
46,1987-06-20,60
47,1987-06-17,90
