,HIRE_DATE,EMPLOYEE_ID
0,1987-06-17,100
1,1987-06-20,103
2,1987-06-21,104
3,1987-06-22,105
4,1987-06-23,106
5,1987-06-24,107
6,1987-06-25,108
7,1987-06-26,109
8,1987-06-27,110
9,1987-06-28,111
10,1987-06-29,112
11,1987-06-30,113
12,1987-07-02,115
13,1987-07-03,116
14,1987-07-04,117
15,1987-07-05,118
16,1987-07-06,119
17,1987-07-07,120
18,1987-07-08,121
19,1987-07-10,123
20,1987-07-11,124
21,1987-07-12,125
22,1987-07-13,126
23,1987-07-14,127
24,1987-07-15,128
25,1987-07-16,129
26,1987-07-17,130
27,1987-07-18,131
28,1987-07-19,132
29,1987-07-20,133
30,1987-07-21,134
31,1987-07-22,135
32,1987-07-23,136
33,1987-07-24,137
34,1987-07-25,138
35,1987-07-26,139
36,1987-07-27,140
37,1987-07-28,141
38,1987-07-29,142
39,1987-07-30,143
40,1987-07-31,144
41,1987-08-01,145
42,1987-08-02,146
43,1987-08-03,147
44,1987-08-04,148
45,1987-08-05,149
46,1987-08-06,150
47,1987-08-07,151
48,1987-08-08,152
49,1987-08-09,153
50,1987-08-10,154
51,1987-08-11,155
52,1987-08-12,156
53,1987-08-13,157
54,1987-08-14,158
55,1987-08-15,159
56,1987-08-16,160
57,1987-08-17,161
58,1987-08-18,162
59,1987-08-19,163
60,1987-08-20,164
61,1987-08-21,165
62,1987-08-22,166
63,1987-08-23,167
64,1987-08-24,168
65,1987-08-25,169
66,1987-08-26,170
67,1987-08-27,171
68,1987-08-28,172
69,1987-08-29,173
70,1987-08-30,174
71,1987-08-31,175
72,1987-09-02,177
73,1987-09-03,178
74,1987-09-04,179
75,1987-09-05,180
76,1987-09-06,181
77,1987-09-07,182
78,1987-09-08,183
79,1987-09-09,184
80,1987-09-10,185
81,1987-09-11,186
82,1987-09-12,187
83,1987-09-13,188
84,1987-09-14,189
85,1987-09-15,190
86,1987-09-16,191
87,1987-09-17,192
88,1987-09-18,193
89,1987-09-19,194
90,1987-09-20,195
91,1987-09-21,196
92,1987-09-22,197
93,1987-09-23,198
94,1987-09-24,199
95,1987-09-27,202
96,1987-09-28,203
97,1987-09-29,204
98,1987-09-30,205
99,1987-10-01,206
