,EMPLOYEE_ID,MANAGER_ID
0,100,0
1,103,102
2,104,103
3,105,103
4,106,103
5,107,103
6,108,101
7,109,108
8,110,108
9,111,108
10,112,108
11,113,108
12,115,114
13,116,114
14,117,114
15,118,114
16,119,114
17,120,100
18,121,100
19,123,100
20,124,100
21,125,120
22,126,120
23,127,120
24,128,120
25,129,121
26,130,121
27,131,121
28,132,121
29,133,122
30,134,122
31,135,122
32,136,122
33,137,123
34,138,123
35,139,123
36,140,123
37,141,124
38,142,124
39,143,124
40,144,124
41,145,100
42,146,100
43,147,100
44,148,100
45,149,100
46,150,145
47,151,145
48,152,145
49,153,145
50,154,145
51,155,145
52,156,146
53,157,146
54,158,146
55,159,146
56,160,146
57,161,146
58,162,147
59,163,147
60,164,147
61,165,147
62,166,147
63,167,147
64,168,148
65,169,148
66,170,148
67,171,148
68,172,148
69,173,148
70,174,149
71,175,149
72,177,149
73,178,149
74,179,149
75,180,120
76,181,120
77,182,120
78,183,120
79,184,121
80,185,121
81,186,121
82,187,121
83,188,122
84,189,122
85,190,122
86,191,122
87,192,123
88,193,123
89,194,123
90,195,123
91,196,124
92,197,124
93,198,124
94,199,124
95,202,201
96,203,101
97,204,101
98,205,101
99,206,205
