,HIRE_DATE,SALARY
0,1987-10-01,8300
1,1987-09-30,12000
2,1987-09-29,10000
3,1987-09-28,6500
4,1987-09-27,6000
5,1987-09-24,2600
6,1987-09-23,2600
7,1987-09-22,3000
8,1987-09-21,3100
9,1987-09-20,2800
10,1987-09-19,3200
11,1987-09-18,3900
12,1987-09-17,4000
13,1987-09-16,2500
14,1987-09-15,2900
15,1987-09-14,3600
16,1987-09-13,3800
17,1987-09-12,3000
18,1987-09-11,3400
19,1987-09-10,4100
20,1987-09-09,4200
21,1987-09-08,2800
22,1987-09-07,2500
23,1987-09-06,3100
24,1987-09-05,3200
25,1987-09-04,6200
26,1987-09-03,7000
27,1987-09-02,8400
28,1987-08-31,8800
29,1987-08-30,11000
30,1987-08-29,6100
31,1987-08-28,7300
32,1987-08-27,7400
33,1987-08-26,9600
34,1987-08-25,10000
35,1987-08-24,11500
36,1987-08-23,6200
37,1987-08-22,6400
38,1987-08-21,6800
39,1987-08-20,7200
40,1987-08-19,9500
41,1987-08-18,10500
42,1987-08-17,7000
43,1987-08-16,7500
44,1987-08-15,8000
45,1987-08-14,9000
46,1987-08-13,9500
47,1987-08-12,10000
48,1987-08-11,7000
49,1987-08-10,7500
50,1987-08-09,8000
51,1987-08-08,9000
52,1987-08-07,9500
53,1987-08-06,10000
54,1987-08-05,10500
55,1987-08-04,11000
56,1987-08-03,12000
57,1987-08-02,13500
58,1987-08-01,14000
59,1987-07-31,2500
60,1987-07-30,2600
61,1987-07-29,3100
62,1987-07-28,3500
63,1987-07-27,2500
64,1987-07-26,2700
65,1987-07-25,3200
66,1987-07-24,3600
67,1987-07-23,2200
68,1987-07-22,2400
69,1987-07-21,2900
70,1987-07-20,3300
71,1987-07-19,2100
72,1987-07-18,2500
73,1987-07-17,2800
74,1987-07-16,3300
75,1987-07-15,2200
76,1987-07-14,2400
77,1987-07-13,2700
78,1987-07-12,3200
79,1987-07-11,5800
80,1987-07-10,6500
81,1987-07-08,8200
82,1987-07-07,8000
83,1987-07-06,2500
84,1987-07-05,2600
85,1987-07-04,2800
86,1987-07-03,2900
87,1987-07-02,3100
88,1987-06-30,6900
89,1987-06-29,7800
90,1987-06-28,7700
91,1987-06-27,8200
92,1987-06-26,9000
93,1987-06-25,12000
94,1987-06-24,4200
95,1987-06-23,4800
96,1987-06-22,4800
97,1987-06-21,6000
98,1987-06-20,9000
99,1987-06-17,24000
