,HIRE_DATE,EMPLOYEE_ID
0,1987-06-17,100
1,1987-06-18,101
2,1987-06-19,102
3,1987-06-20,103
4,1987-06-21,104
5,1987-06-22,105
6,1987-06-23,106
7,1987-06-24,107
8,1987-06-25,108
9,1987-06-26,109
10,1987-06-27,110
11,1987-06-28,111
12,1987-06-29,112
13,1987-06-30,113
14,1987-07-01,114
15,1987-07-02,115
16,1987-07-03,116
17,1987-07-04,117
18,1987-07-05,118
19,1987-07-06,119
20,1987-07-07,120
21,1987-07-08,121
22,1987-07-09,122
23,1987-07-10,123
24,1987-07-11,124
25,1987-07-12,125
26,1987-07-13,126
27,1987-07-14,127
28,1987-07-15,128
29,1987-07-16,129
30,1987-07-17,130
31,1987-07-18,131
32,1987-07-19,132
33,1987-07-20,133
34,1987-07-21,134
35,1987-07-22,135
36,1987-07-23,136
37,1987-07-24,137
38,1987-07-25,138
39,1987-07-26,139
40,1987-07-27,140
41,1987-07-28,141
42,1987-07-29,142
43,1987-07-30,143
44,1987-07-31,144
45,1987-08-01,145
46,1987-08-02,146
47,1987-08-03,147
48,1987-08-04,148
49,1987-08-05,149
50,1987-08-06,150
51,1987-08-07,151
52,1987-08-08,152
53,1987-08-09,153
54,1987-08-10,154
55,1987-08-11,155
56,1987-08-12,156
57,1987-08-13,157
58,1987-08-14,158
59,1987-08-15,159
60,1987-08-16,160
61,1987-08-17,161
62,1987-08-18,162
63,1987-08-19,163
64,1987-08-20,164
65,1987-08-21,165
66,1987-08-22,166
67,1987-08-23,167
68,1987-08-24,168
69,1987-08-25,169
70,1987-08-26,170
71,1987-08-27,171
72,1987-08-28,172
73,1987-08-29,173
74,1987-08-30,174
75,1987-08-31,175
76,1987-09-01,176
77,1987-09-02,177
78,1987-09-03,178
79,1987-09-04,179
80,1987-09-05,180
81,1987-09-06,181
82,1987-09-07,182
83,1987-09-08,183
84,1987-09-09,184
85,1987-09-10,185
86,1987-09-11,186
87,1987-09-12,187
88,1987-09-13,188
89,1987-09-14,189
90,1987-09-15,190
91,1987-09-16,191
92,1987-09-17,192
93,1987-09-18,193
94,1987-09-19,194
95,1987-09-20,195
96,1987-09-21,196
97,1987-09-22,197
98,1987-09-23,198
99,1987-09-24,199
100,1987-09-25,200
101,1987-09-26,201
102,1987-09-27,202
103,1987-09-28,203
104,1987-09-29,204
105,1987-09-30,205
106,1987-10-01,206
