,SALARY,DEPARTMENT_ID
0,24000,90
1,9000,60
2,6000,60
3,4800,60
4,4800,60
5,4200,60
6,12000,100
7,9000,100
8,8200,100
9,7700,100
10,7800,100
11,6900,100
12,3100,30
13,2900,30
14,2800,30
15,2600,30
16,2500,30
17,8000,50
18,8200,50
19,6500,50
20,5800,50
21,3200,50
22,2700,50
23,2400,50
24,2200,50
25,3300,50
26,2800,50
27,2500,50
28,2100,50
29,3300,50
30,2900,50
31,2400,50
32,2200,50
33,3600,50
34,3200,50
35,2700,50
36,2500,50
37,3500,50
38,3100,50
39,2600,50
40,2500,50
41,14000,80
42,13500,80
43,12000,80
44,11000,80
45,10500,80
46,10000,80
47,9500,80
48,9000,80
49,8000,80
50,7500,80
51,7000,80
52,10000,80
53,9500,80
54,9000,80
55,8000,80
56,7500,80
57,7000,80
58,10500,80
59,9500,80
60,7200,80
61,6800,80
62,6400,80
63,6200,80
64,11500,80
65,10000,80
66,9600,80
67,7400,80
68,7300,80
69,6100,80
70,11000,80
71,8800,80
72,8400,80
73,7000,0
74,6200,80
75,3200,50
76,3100,50
77,2500,50
78,2800,50
79,4200,50
80,4100,50
81,3400,50
82,3000,50
83,3800,50
84,3600,50
85,2900,50
86,2500,50
87,4000,50
88,3900,50
89,3200,50
90,2800,50
91,3100,50
92,3000,50
93,2600,50
94,2600,50
95,6000,20
96,6500,40
97,10000,70
98,12000,110
99,8300,110
