,HIRE_DATE,MANAGER_ID
0,1987-06-17,0
1,1987-09-30,101
2,1987-08-24,148
3,1987-07-01,100
4,1987-08-04,100
5,1987-08-25,148
6,1987-08-07,145
7,1987-08-19,147
8,1987-06-20,102
9,1987-06-26,108
10,1987-08-31,149
11,1987-07-08,100
12,1987-08-09,145
13,1987-08-15,146
14,1987-06-29,108
15,1987-06-28,108
16,1987-08-16,146
17,1987-08-17,146
18,1987-06-30,108
19,1987-08-21,147
20,1987-07-10,100
21,1987-09-28,101
22,1987-08-22,147
23,1987-09-04,149
24,1987-08-29,148
25,1987-06-22,103
26,1987-06-24,103
27,1987-09-09,121
28,1987-09-10,121
29,1987-09-17,123
30,1987-07-24,123
31,1987-07-20,122
32,1987-07-25,123
33,1987-09-05,120
34,1987-09-19,123
35,1987-07-02,114
36,1987-07-29,124
37,1987-07-03,114
38,1987-07-04,114
39,1987-09-08,120
40,1987-07-30,124
41,1987-09-23,124
42,1987-09-24,124
43,1987-07-18,121
44,1987-07-27,123
45,1987-09-16,122
46,1987-07-14,120
47,1987-07-15,120
