,EMPLOYEE_ID,DEPARTMENT_ID
0,100,90
1,205,110
2,168,80
3,114,30
4,148,80
5,169,80
6,151,80
7,163,80
8,103,60
9,109,100
10,175,80
11,121,50
12,153,80
13,159,80
14,112,100
15,111,100
16,160,80
17,161,80
18,113,100
19,165,80
20,123,50
21,203,40
22,166,80
23,179,80
24,173,80
25,105,60
26,107,60
27,184,50
28,185,50
29,192,50
30,137,50
31,133,50
32,138,50
33,180,50
34,194,50
35,115,30
36,142,50
37,116,30
38,117,30
39,183,50
40,143,50
41,198,50
42,199,50
43,131,50
44,140,50
45,191,50
46,127,50
47,128,50
