,EMPLOYEE_ID,SALARY
0,108,12000
1,109,9000
2,110,8200
3,111,7700
4,112,7800
5,113,6900
6,120,8000
7,121,8200
8,122,7900
9,123,6500
10,145,14000
11,146,13500
12,147,12000
13,148,11000
14,149,10500
15,150,10000
16,151,9500
17,152,9000
18,153,8000
19,154,7500
20,155,7000
21,156,10000
22,157,9500
23,158,9000
24,159,8000
25,160,7500
26,161,7000
27,162,10500
28,163,9500
29,164,7200
30,165,6800
31,168,11500
32,169,10000
33,170,9600
34,171,7400
35,172,7300
36,174,11000
37,175,8800
38,176,8600
39,177,8400
