,HIRE_DATE,MANAGER_ID
0,1987-09-30,101
1,1987-09-28,101
2,1987-09-24,124
3,1987-09-23,124
4,1987-09-19,123
5,1987-09-17,123
6,1987-09-16,122
7,1987-09-10,121
8,1987-09-09,121
9,1987-09-08,120
10,1987-09-05,120
11,1987-09-04,149
12,1987-08-31,149
13,1987-08-29,148
14,1987-08-25,148
15,1987-08-24,148
16,1987-08-22,147
17,1987-08-21,147
18,1987-08-19,147
19,1987-08-17,146
20,1987-08-16,146
21,1987-08-15,146
22,1987-08-09,145
23,1987-08-07,145
24,1987-08-04,100
25,1987-07-30,124
26,1987-07-29,124
27,1987-07-27,123
28,1987-07-25,123
29,1987-07-24,123
30,1987-07-20,122
31,1987-07-18,121
32,1987-07-15,120
33,1987-07-14,120
34,1987-07-10,100
35,1987-07-08,100
36,1987-07-04,114
37,1987-07-03,114
38,1987-07-02,114
39,1987-07-01,100
40,1987-06-30,108
41,1987-06-29,108
42,1987-06-28,108
43,1987-06-26,108
44,1987-06-24,103
45,1987-06-22,103
46,1987-06-20,102
47,1987-06-17,0
