,SALARY,MANAGER_ID
0,24000,0
1,12000,101
2,11500,148
3,11000,100
4,11000,100
5,10000,148
6,9500,145
7,9500,147
8,9000,102
9,9000,108
10,8800,149
11,8200,100
12,8000,145
13,8000,146
14,7800,108
15,7700,108
16,7500,146
17,7000,146
18,6900,108
19,6800,147
20,6500,100
21,6500,101
22,6400,147
23,6200,149
24,6100,148
25,4800,103
26,4200,103
27,4200,121
28,4100,121
29,4000,123
30,3600,123
31,3300,122
32,3200,123
33,3200,120
34,3200,123
35,3100,114
36,3100,124
37,2900,114
38,2800,114
39,2800,120
40,2600,124
41,2600,124
42,2600,124
43,2500,121
44,2500,123
45,2500,122
46,2400,120
47,2200,120
