,HIRE_DATE,COMMISSION_PCT
0,1987-06-17,0.0
1,1987-06-20,0.0
2,1987-06-22,0.0
3,1987-06-24,0.0
4,1987-06-26,0.0
5,1987-06-28,0.0
6,1987-06-29,0.0
7,1987-06-30,0.0
8,1987-07-01,0.0
9,1987-07-02,0.0
10,1987-07-03,0.0
11,1987-07-04,0.0
12,1987-07-08,0.0
13,1987-07-10,0.0
14,1987-07-14,0.0
15,1987-07-15,0.0
16,1987-07-18,0.0
17,1987-07-20,0.0
18,1987-07-24,0.0
19,1987-07-25,0.0
20,1987-07-27,0.0
21,1987-07-29,0.0
22,1987-07-30,0.0
23,1987-08-04,0.30000000000000004
24,1987-08-07,0.25
25,1987-08-09,0.2
26,1987-08-15,0.30000000000000004
27,1987-08-16,0.30000000000000004
28,1987-08-17,0.25
29,1987-08-19,0.15
30,1987-08-21,0.1
31,1987-08-22,0.1
32,1987-08-24,0.25
33,1987-08-25,0.2
34,1987-08-29,0.1
35,1987-08-31,0.25
36,1987-09-04,0.1
37,1987-09-05,0.0
38,1987-09-08,0.0
39,1987-09-09,0.0
40,1987-09-10,0.0
41,1987-09-16,0.0
42,1987-09-17,0.0
43,1987-09-19,0.0
44,1987-09-23,0.0
45,1987-09-24,0.0
46,1987-09-28,0.0
47,1987-09-30,0.0
