,EMPLOYEE_ID,MANAGER_ID
0,100,0
1,205,101
2,168,148
3,114,100
4,148,100
5,169,148
6,151,145
7,163,147
8,103,102
9,109,108
10,175,149
11,121,100
12,153,145
13,159,146
14,112,108
15,111,108
16,160,146
17,161,146
18,113,108
19,165,147
20,123,100
21,203,101
22,166,147
23,179,149
24,173,148
25,105,103
26,107,103
27,184,121
28,185,121
29,192,123
30,137,123
31,133,122
32,138,123
33,180,120
34,194,123
35,115,114
36,142,124
37,116,114
38,117,114
39,183,120
40,143,124
41,198,124
42,199,124
43,131,121
44,140,123
45,191,122
46,127,120
47,128,120
