,date,COUNT(date)
0,2013-08-29,3
1,2013-08-30,4
2,2013-08-31,1
3,2013-09-01,4
4,2013-09-02,1
5,2013-09-03,2
6,2013-09-04,1
7,2013-09-05,2
8,2013-09-06,5
9,2013-09-07,5
10,2013-09-08,3
11,2013-09-09,4
12,2013-09-10,2
13,2013-09-16,2
14,2013-09-18,4
15,2013-09-19,5
16,2013-09-23,4
17,2013-09-27,1
18,2013-09-28,4
19,2013-10-04,3
20,2013-10-05,5
21,2013-10-06,5
22,2013-10-07,5
23,2013-10-15,3
24,2013-10-16,5
25,2013-10-17,4
26,2014-03-09,1
27,2014-03-15,1
28,2014-03-16,1
29,2014-04-07,4
30,2014-04-08,4
31,2014-04-10,1
32,2014-04-20,3
33,2014-04-29,5
34,2014-04-30,5
35,2014-05-01,5
36,2014-05-02,1
37,2014-05-12,5
38,2014-05-13,5
39,2014-05-14,5
40,2014-05-15,5
41,2014-05-16,1
42,2014-05-25,4
43,2014-05-26,4
44,2014-05-29,4
45,2014-06-01,1
46,2014-06-04,1
47,2014-06-05,1
48,2014-06-08,5
49,2014-06-09,4
50,2014-06-12,1
51,2014-06-14,5
52,2014-06-17,1
53,2014-06-18,5
54,2014-06-20,4
55,2014-06-29,5
56,2014-06-30,5
57,2014-07-02,1
58,2014-07-03,1
59,2014-07-05,2
60,2014-07-06,1
61,2014-07-07,3
62,2014-07-08,1
63,2014-07-09,1
64,2014-07-10,1
65,2014-07-14,4
66,2014-07-15,3
67,2014-07-16,3
68,2014-07-24,5
69,2014-07-25,5
70,2014-07-26,4
71,2014-07-27,4
72,2014-07-28,1
73,2014-07-29,3
74,2014-07-30,2
75,2014-07-31,1
76,2014-08-01,1
77,2014-08-05,1
78,2014-08-06,4
79,2014-08-08,1
80,2014-08-10,1
81,2014-08-13,1
82,2014-08-14,1
83,2014-08-15,1
84,2014-08-16,1
85,2014-08-17,1
86,2014-08-20,1
87,2014-08-21,1
88,2014-08-22,3
89,2014-08-27,3
90,2014-08-28,1
91,2014-08-29,2
92,2014-08-30,4
93,2014-08-31,2
94,2014-09-01,5
95,2014-09-04,1
96,2014-09-10,5
97,2014-09-11,5
98,2014-09-12,3
99,2014-09-13,1
100,2014-09-16,4
101,2014-09-17,4
102,2014-09-18,3
103,2014-09-24,3
104,2014-10-01,5
105,2014-10-02,5
106,2014-10-03,5
107,2014-10-04,5
108,2014-10-05,5
109,2014-10-06,5
110,2014-10-07,1
111,2014-10-08,4
112,2014-10-12,5
113,2014-10-13,5
114,2014-10-18,1
115,2014-10-29,1
116,2014-10-30,1
117,2015-01-27,1
118,2015-02-02,1
119,2015-02-27,1
120,2015-03-14,5
121,2015-03-15,1
122,2015-03-19,1
123,2015-03-26,5
124,2015-04-16,4
125,2015-04-27,5
126,2015-04-29,1
127,2015-04-30,5
128,2015-05-01,2
129,2015-05-02,1
130,2015-05-03,1
131,2015-05-30,1
132,2015-06-07,1
133,2015-06-08,5
134,2015-06-09,2
135,2015-06-11,2
136,2015-06-12,4
137,2015-06-13,3
138,2015-06-19,1
139,2015-06-20,1
140,2015-06-24,1
141,2015-06-25,4
142,2015-06-26,2
143,2015-06-27,1
144,2015-06-30,5
145,2015-07-01,2
146,2015-07-03,2
147,2015-07-04,1
148,2015-07-05,1
149,2015-07-13,1
150,2015-07-15,3
151,2015-07-16,2
152,2015-07-17,1
153,2015-07-19,5
154,2015-07-20,4
155,2015-07-27,5
156,2015-07-28,5
157,2015-07-29,4
158,2015-07-30,2
159,2015-08-01,2
160,2015-08-07,1
161,2015-08-08,1
162,2015-08-10,1
163,2015-08-11,1
164,2015-08-12,3
165,2015-08-13,2
166,2015-08-14,1
167,2015-08-15,5
168,2015-08-16,5
169,2015-08-17,5
170,2015-08-18,1
171,2015-08-22,1
172,2015-08-25,1
173,2015-08-26,3
174,2015-08-27,5
175,2015-08-28,5
176,2015-08-29,2
177,2015-08-30,1
178,2015-08-31,4
