,COMMISSION_PCT,MANAGER_ID
0,0.0,0
1,0.0,102
2,0.0,103
3,0.0,103
4,0.0,103
5,0.0,103
6,0.0,101
7,0.0,108
8,0.0,108
9,0.0,108
10,0.0,108
11,0.0,108
12,0.0,114
13,0.0,114
14,0.0,114
15,0.0,114
16,0.0,114
17,0.0,100
18,0.0,100
19,0.0,100
20,0.0,100
21,0.0,120
22,0.0,120
23,0.0,120
24,0.0,120
25,0.0,121
26,0.0,121
27,0.0,121
28,0.0,121
29,0.0,122
30,0.0,122
31,0.0,122
32,0.0,122
33,0.0,123
34,0.0,123
35,0.0,123
36,0.0,123
37,0.0,124
38,0.0,124
39,0.0,124
40,0.0,124
41,0.4,100
42,0.30000000000000004,100
43,0.30000000000000004,100
44,0.30000000000000004,100
45,0.2,100
46,0.30000000000000004,145
47,0.25,145
48,0.25,145
49,0.2,145
50,0.2,145
51,0.15,145
52,0.35000000000000003,146
53,0.35000000000000003,146
54,0.35000000000000003,146
55,0.30000000000000004,146
56,0.30000000000000004,146
57,0.25,146
58,0.25,147
59,0.15,147
60,0.1,147
61,0.1,147
62,0.1,147
63,0.1,147
64,0.25,148
65,0.2,148
66,0.2,148
67,0.15,148
68,0.15,148
69,0.1,148
70,0.30000000000000004,149
71,0.25,149
72,0.2,149
73,0.15,149
74,0.1,149
75,0.0,120
76,0.0,120
77,0.0,120
78,0.0,120
79,0.0,121
80,0.0,121
81,0.0,121
82,0.0,121
83,0.0,122
84,0.0,122
85,0.0,122
86,0.0,122
87,0.0,123
88,0.0,123
89,0.0,123
90,0.0,123
91,0.0,124
92,0.0,124
93,0.0,124
94,0.0,124
95,0.0,201
96,0.0,101
97,0.0,101
98,0.0,101
99,0.0,205
