,EMPLOYEE_ID,SALARY
0,100,24000
1,103,9000
2,104,6000
3,105,4800
4,106,4800
5,107,4200
6,108,12000
7,109,9000
8,110,8200
9,111,7700
10,112,7800
11,113,6900
12,115,3100
13,116,2900
14,117,2800
15,118,2600
16,119,2500
17,120,8000
18,121,8200
19,123,6500
20,124,5800
21,125,3200
22,126,2700
23,127,2400
24,128,2200
25,129,3300
26,130,2800
27,131,2500
28,132,2100
29,133,3300
30,134,2900
31,135,2400
32,136,2200
33,137,3600
34,138,3200
35,139,2700
36,140,2500
37,141,3500
38,142,3100
39,143,2600
40,144,2500
41,145,14000
42,146,13500
43,147,12000
44,148,11000
45,149,10500
46,150,10000
47,151,9500
48,152,9000
49,153,8000
50,154,7500
51,155,7000
52,156,10000
53,157,9500
54,158,9000
55,159,8000
56,160,7500
57,161,7000
58,162,10500
59,163,9500
60,164,7200
61,165,6800
62,166,6400
63,167,6200
64,168,11500
65,169,10000
66,170,9600
67,171,7400
68,172,7300
69,173,6100
70,174,11000
71,175,8800
72,177,8400
73,178,7000
74,179,6200
75,180,3200
76,181,3100
77,182,2500
78,183,2800
79,184,4200
80,185,4100
81,186,3400
82,187,3000
83,188,3800
84,189,3600
85,190,2900
86,191,2500
87,192,4000
88,193,3900
89,194,3200
90,195,2800
91,196,3100
92,197,3000
93,198,2600
94,199,2600
95,202,6000
96,203,6500
97,204,10000
98,205,12000
99,206,8300
