,HIRE_DATE,MANAGER_ID
0,1987-10-01,205
1,1987-09-30,101
2,1987-09-29,101
3,1987-09-27,201
4,1987-09-26,100
5,1987-09-25,101
6,1987-09-24,124
7,1987-09-23,124
8,1987-09-22,124
9,1987-09-21,124
10,1987-09-20,123
11,1987-09-19,123
12,1987-09-18,123
13,1987-09-17,123
14,1987-09-16,122
15,1987-09-15,122
16,1987-09-14,122
17,1987-09-13,122
18,1987-09-12,121
19,1987-09-11,121
20,1987-09-10,121
21,1987-09-09,121
22,1987-09-08,120
23,1987-09-07,120
24,1987-09-06,120
25,1987-09-05,120
26,1987-09-04,149
27,1987-09-03,149
28,1987-09-02,149
29,1987-09-01,149
30,1987-08-31,149
31,1987-08-30,149
32,1987-08-29,148
33,1987-08-28,148
34,1987-08-27,148
35,1987-08-26,148
36,1987-08-25,148
37,1987-08-24,148
38,1987-08-23,147
39,1987-08-22,147
40,1987-08-21,147
41,1987-08-20,147
42,1987-08-19,147
43,1987-08-18,147
44,1987-08-17,146
45,1987-08-16,146
46,1987-08-15,146
47,1987-08-14,146
48,1987-08-13,146
49,1987-08-12,146
50,1987-08-11,145
51,1987-08-10,145
52,1987-08-09,145
53,1987-08-08,145
54,1987-08-07,145
55,1987-08-06,145
56,1987-08-05,100
57,1987-08-04,100
58,1987-08-03,100
59,1987-08-02,100
60,1987-08-01,100
61,1987-07-31,124
62,1987-07-30,124
63,1987-07-29,124
64,1987-07-28,124
65,1987-07-27,123
66,1987-07-26,123
67,1987-07-25,123
68,1987-07-24,123
69,1987-07-23,122
70,1987-07-22,122
71,1987-07-21,122
72,1987-07-20,122
73,1987-07-19,121
74,1987-07-18,121
75,1987-07-17,121
76,1987-07-16,121
77,1987-07-15,120
78,1987-07-14,120
79,1987-07-13,120
80,1987-07-12,120
81,1987-07-11,100
82,1987-07-10,100
83,1987-07-09,100
84,1987-07-08,100
85,1987-07-07,100
86,1987-07-06,114
87,1987-07-05,114
88,1987-07-04,114
89,1987-07-03,114
90,1987-07-02,114
91,1987-07-01,100
92,1987-06-30,108
93,1987-06-29,108
94,1987-06-28,108
95,1987-06-27,108
96,1987-06-26,108
97,1987-06-25,101
98,1987-06-24,103
99,1987-06-23,103
100,1987-06-22,103
101,1987-06-21,103
102,1987-06-20,102
103,1987-06-19,100
104,1987-06-18,100
105,1987-06-17,0
