,SALARY,MANAGER_ID
0,24000,0
1,9000,102
2,6000,103
3,4800,103
4,4800,103
5,4200,103
6,12000,101
7,9000,108
8,8200,108
9,7700,108
10,7800,108
11,6900,108
12,3100,114
13,2900,114
14,2800,114
15,2600,114
16,2500,114
17,8000,100
18,8200,100
19,6500,100
20,5800,100
21,3200,120
22,2700,120
23,2400,120
24,2200,120
25,3300,121
26,2800,121
27,2500,121
28,2100,121
29,3300,122
30,2900,122
31,2400,122
32,2200,122
33,3600,123
34,3200,123
35,2700,123
36,2500,123
37,3500,124
38,3100,124
39,2600,124
40,2500,124
41,14000,100
42,13500,100
43,12000,100
44,11000,100
45,10500,100
46,10000,145
47,9500,145
48,9000,145
49,8000,145
50,7500,145
51,7000,145
52,10000,146
53,9500,146
54,9000,146
55,8000,146
56,7500,146
57,7000,146
58,10500,147
59,9500,147
60,7200,147
61,6800,147
62,6400,147
63,6200,147
64,11500,148
65,10000,148
66,9600,148
67,7400,148
68,7300,148
69,6100,148
70,11000,149
71,8800,149
72,8400,149
73,7000,149
74,6200,149
75,3200,120
76,3100,120
77,2500,120
78,2800,120
79,4200,121
80,4100,121
81,3400,121
82,3000,121
83,3800,122
84,3600,122
85,2900,122
86,2500,122
87,4000,123
88,3900,123
89,3200,123
90,2800,123
91,3100,124
92,3000,124
93,2600,124
94,2600,124
95,6000,201
96,6500,101
97,10000,101
98,12000,101
99,8300,205
