,driverId,count(*)
0,7,27
1,12,28
2,19,24
3,26,28
4,28,1
5,29,21
6,34,4
7,36,7
8,38,11
9,40,11
10,42,20
11,43,28
12,45,14
13,46,18
14,47,20
15,51,16
16,52,14
17,53,5
18,54,15
19,58,26
20,59,29
21,60,21
22,61,3
23,62,16
24,66,17
25,72,1
26,73,30
27,74,16
28,76,25
29,80,1
30,82,4
31,85,28
32,86,10
33,89,18
34,93,7
35,96,11
36,97,7
37,98,3
38,101,30
39,106,10
40,107,3
41,108,27
42,111,9
43,113,2
44,115,3
45,116,2
46,120,20
47,121,13
48,124,1
49,125,6
50,126,2
51,128,29
52,130,10
53,132,3
54,134,6
55,135,7
56,141,20
57,142,13
58,143,4
59,144,2
60,147,15
61,148,22
62,149,14
63,150,2
64,151,15
65,161,10
66,162,17
67,164,7
68,165,21
69,167,21
70,168,2
71,169,12
72,171,2
73,174,16
74,179,28
75,180,9
76,183,20
77,185,22
78,186,9
79,188,23
80,189,8
81,190,19
82,191,5
83,193,15
84,195,29
85,196,30
86,198,3
87,201,15
88,204,8
89,208,14
90,209,12
91,210,5
92,213,17
93,214,2
94,215,4
95,216,13
96,217,11
97,218,1
98,220,2
99,225,7
100,226,1
101,227,2
102,228,1
103,229,29
104,234,3
105,236,5
106,237,20
107,240,6
108,241,5
109,242,3
110,244,3
111,245,6
112,246,15
113,247,5
114,248,1
115,249,2
116,251,20
117,253,6
118,254,7
119,256,15
120,257,7
121,258,13
122,259,11
123,260,5
124,261,1
125,263,2
126,264,1
127,265,16
128,266,1
129,267,12
130,268,1
131,269,4
132,270,11
133,271,6
134,272,1
135,273,2
136,274,2
137,275,17
138,276,12
139,277,8
140,279,1
141,281,1
142,282,2
143,283,8
144,284,4
145,285,3
146,286,1
147,287,1
148,288,15
149,291,1
150,292,3
151,293,13
152,294,10
153,295,6
154,296,15
155,297,2
156,298,9
157,299,2
158,300,2
159,301,1
160,302,2
161,303,1
162,308,4
163,310,2
164,311,4
165,312,13
166,313,13
167,315,2
168,316,6
169,317,23
170,318,1
171,319,3
172,320,30
173,321,14
174,322,7
175,323,1
176,324,3
177,325,1
178,326,2
179,329,29
180,330,17
181,331,1
182,332,12
183,334,4
184,335,2
185,336,1
186,337,9
187,338,11
188,339,9
189,340,10
190,342,6
191,343,3
192,344,2
193,348,1
194,349,1
195,350,13
196,351,18
197,352,13
198,353,11
199,354,2
200,355,1
201,357,15
202,359,12
203,361,29
204,362,4
205,363,4
206,365,3
207,366,1
208,367,1
209,368,6
210,369,2
211,370,17
212,371,2
213,372,1
214,375,13
215,376,19
216,377,2
217,378,1
218,379,2
219,380,9
220,381,1
221,382,8
222,383,26
223,384,1
224,387,7
225,388,10
226,389,13
227,390,2
228,391,1
229,392,2
230,393,1
231,394,26
232,395,1
233,396,9
234,397,15
235,398,2
236,399,5
237,400,2
238,401,29
239,402,3
240,405,11
241,406,3
242,407,2
243,408,27
244,409,2
245,410,3
246,411,3
247,412,2
248,413,3
249,414,1
250,415,1
251,416,1
252,417,1
253,419,1
254,420,7
255,421,1
256,422,1
257,423,5
258,424,4
259,425,5
260,426,1
261,428,6
262,429,15
263,431,7
264,432,5
265,433,4
266,434,6
267,435,12
268,436,5
269,437,26
270,438,10
271,439,5
272,440,12
273,441,4
274,442,2
275,443,1
276,444,3
277,445,2
278,446,2
279,447,2
280,448,1
281,449,12
282,450,1
283,451,1
284,452,1
285,453,11
286,454,6
287,455,13
288,457,1
289,458,1
290,459,9
291,460,5
292,461,2
293,462,3
294,463,3
295,464,3
296,465,7
297,466,1
298,467,2
299,468,2
300,469,1
301,470,1
302,471,1
303,472,1
304,473,1
305,474,1
306,476,28
307,477,18
308,478,20
309,480,4
310,481,10
311,482,17
312,483,15
313,484,9
314,485,1
315,486,13
316,487,2
317,488,1
318,489,2
319,490,1
320,491,2
321,492,1
322,493,1
323,494,2
324,495,1
325,496,12
326,497,1
327,498,29
328,499,1
329,500,4
330,502,7
331,503,1
332,504,1
333,505,4
334,506,9
335,507,6
336,508,4
337,509,12
338,510,3
339,511,2
340,512,9
341,513,9
342,514,5
343,515,1
344,516,5
345,517,2
346,518,10
347,519,3
348,520,9
349,521,7
350,522,2
351,523,3
352,524,1
353,525,9
354,526,9
355,527,4
356,528,8
357,529,13
358,530,1
359,531,3
360,532,4
361,533,6
362,534,2
363,535,2
364,536,3
365,537,5
366,538,5
367,539,2
368,540,2
369,541,15
370,542,3
371,543,4
372,544,1
373,545,1
374,546,1
375,547,18
376,548,1
377,549,6
378,550,1
379,551,5
380,552,1
381,553,2
382,555,9
383,556,7
384,557,1
385,558,5
386,559,6
387,560,3
388,561,3
389,562,4
390,563,4
391,564,2
392,565,3
393,566,9
394,567,3
395,568,1
396,569,1
397,570,1
398,571,1
399,572,1
400,573,2
401,574,1
402,575,1
403,576,1
404,577,26
405,580,14
406,582,1
407,583,7
408,584,1
409,585,2
410,586,9
411,587,1
412,588,1
413,589,17
414,590,14
415,591,1
416,592,6
417,593,10
418,594,3
419,595,2
420,596,5
421,597,5
422,598,1
423,599,1
424,600,1
425,601,2
426,602,1
427,603,1
428,604,1
429,605,1
430,606,6
431,607,9
432,608,17
433,609,12
434,610,3
435,611,9
436,612,11
437,613,4
438,614,1
439,615,8
440,616,1
441,617,1
442,618,1
443,619,7
444,620,10
445,621,1
446,622,6
447,623,2
448,624,8
449,625,7
450,626,29
451,628,5
452,629,3
453,630,4
454,631,2
455,632,11
456,634,1
457,635,1
458,636,1
459,637,1
460,638,3
461,639,1
462,640,23
463,641,18
464,643,17
465,644,9
466,645,5
467,646,1
468,648,12
469,649,2
470,650,5
471,651,15
472,652,1
473,653,6
474,654,5
475,655,3
476,656,4
477,657,5
478,658,6
479,659,5
480,660,25
481,661,4
482,662,1
483,663,16
484,664,7
485,665,2
486,666,3
487,667,2
488,668,1
489,669,19
490,670,12
491,671,1
492,672,2
493,673,3
494,674,1
495,675,4
496,676,1
497,677,4
498,678,1
499,679,2
500,680,7
501,681,2
502,682,1
503,683,1
504,684,1
505,685,1
506,686,7
507,687,12
508,688,5
509,689,9
510,690,2
511,691,2
512,692,3
513,693,3
514,694,1
515,695,1
516,696,1
517,697,17
518,698,1
519,699,3
520,700,2
521,701,2
522,702,5
523,703,2
524,704,13
525,705,2
526,706,1
527,707,1
528,708,5
529,709,2
530,710,2
531,711,1
532,712,2
533,713,1
534,714,1
535,715,2
536,716,1
537,717,4
538,718,1
539,719,1
540,720,2
541,721,5
542,722,3
543,723,7
544,724,2
545,725,2
546,726,3
547,727,1
548,728,2
549,729,3
550,730,3
551,731,3
552,732,3
553,733,2
554,734,2
555,735,3
556,736,2
557,737,1
558,738,4
559,739,1
560,740,2
561,741,12
562,742,2
563,743,1
564,744,2
565,745,1
566,746,4
567,747,4
568,748,3
569,749,3
570,750,1
571,751,1
572,752,1
573,753,1
574,754,1
575,755,1
576,756,3
577,757,1
578,758,1
579,759,2
580,760,1
581,761,1
582,762,5
583,763,5
584,764,3
585,765,2
586,766,2
587,767,1
588,768,2
589,769,1
590,770,2
591,771,2
592,772,2
593,773,6
594,774,3
595,775,1
596,776,2
597,777,1
598,778,2
599,779,1
600,780,3
601,781,1
602,782,1
603,783,1
604,784,2
605,785,2
606,786,8
607,787,3
608,788,1
609,789,2
610,790,1
611,791,1
612,792,1
613,793,5
614,794,1
615,795,1
616,796,1
617,797,2
618,798,1
619,799,2
620,800,1
621,801,1
622,802,1
623,803,1
624,804,1
625,805,1
626,806,1
627,810,19
628,812,11
629,816,20
630,823,19
631,827,1
632,829,19
633,833,13
634,834,5
635,837,12
636,838,21
637,839,29
638,840,20
639,841,2
640,842,5
641,843,4
