,HIRE_DATE,EMPLOYEE_ID
0,1987-06-17,100
1,1987-06-20,103
2,1987-06-22,105
3,1987-06-24,107
4,1987-06-26,109
5,1987-06-28,111
6,1987-06-29,112
7,1987-06-30,113
8,1987-07-01,114
9,1987-07-02,115
10,1987-07-03,116
11,1987-07-04,117
12,1987-07-08,121
13,1987-07-10,123
14,1987-07-14,127
15,1987-07-15,128
16,1987-07-18,131
17,1987-07-20,133
18,1987-07-24,137
19,1987-07-25,138
20,1987-07-27,140
21,1987-07-29,142
22,1987-07-30,143
23,1987-08-04,148
24,1987-08-07,151
25,1987-08-09,153
26,1987-08-15,159
27,1987-08-16,160
28,1987-08-17,161
29,1987-08-19,163
30,1987-08-21,165
31,1987-08-22,166
32,1987-08-24,168
33,1987-08-25,169
34,1987-08-29,173
35,1987-08-31,175
36,1987-09-04,179
37,1987-09-05,180
38,1987-09-08,183
39,1987-09-09,184
40,1987-09-10,185
41,1987-09-16,191
42,1987-09-17,192
43,1987-09-19,194
44,1987-09-23,198
45,1987-09-24,199
46,1987-09-28,203
47,1987-09-30,205
