,COMMISSION_PCT,DEPARTMENT_ID
0,0.0,90
1,0.0,90
2,0.0,90
3,0.0,60
4,0.0,60
5,0.0,60
6,0.0,60
7,0.0,60
8,0.0,100
9,0.0,100
10,0.0,100
11,0.0,100
12,0.0,100
13,0.0,100
14,0.0,30
15,0.0,30
16,0.0,30
17,0.0,30
18,0.0,30
19,0.0,30
20,0.0,50
21,0.0,50
22,0.0,50
23,0.0,50
24,0.0,50
25,0.0,50
26,0.0,50
27,0.0,50
28,0.0,50
29,0.0,50
30,0.0,50
31,0.0,50
32,0.0,50
33,0.0,50
34,0.0,50
35,0.0,50
36,0.0,50
37,0.0,50
38,0.0,50
39,0.0,50
40,0.0,50
41,0.0,50
42,0.0,50
43,0.0,50
44,0.0,50
45,0.4,80
46,0.30000000000000004,80
47,0.30000000000000004,80
48,0.30000000000000004,80
49,0.2,80
50,0.30000000000000004,80
51,0.25,80
52,0.25,80
53,0.2,80
54,0.2,80
55,0.15,80
56,0.35000000000000003,80
57,0.35000000000000003,80
58,0.35000000000000003,80
59,0.30000000000000004,80
60,0.30000000000000004,80
61,0.25,80
62,0.25,80
63,0.15,80
64,0.1,80
65,0.1,80
66,0.1,80
67,0.1,80
68,0.25,80
69,0.2,80
70,0.2,80
71,0.15,80
72,0.15,80
73,0.1,80
74,0.30000000000000004,80
75,0.25,80
76,0.2,80
77,0.2,80
78,0.15,0
79,0.1,80
80,0.0,50
81,0.0,50
82,0.0,50
83,0.0,50
84,0.0,50
85,0.0,50
86,0.0,50
87,0.0,50
88,0.0,50
89,0.0,50
90,0.0,50
91,0.0,50
92,0.0,50
93,0.0,50
94,0.0,50
95,0.0,50
96,0.0,50
97,0.0,50
98,0.0,50
99,0.0,50
100,0.0,10
101,0.0,20
102,0.0,20
103,0.0,70
104,0.0,110
105,0.0,110
