,HIRE_DATE,MANAGER_ID
0,1987-06-17,0
1,1987-06-20,102
2,1987-06-22,103
3,1987-06-24,103
4,1987-06-26,108
5,1987-06-28,108
6,1987-06-29,108
7,1987-06-30,108
8,1987-07-01,100
9,1987-07-02,114
10,1987-07-03,114
11,1987-07-04,114
12,1987-07-08,100
13,1987-07-10,100
14,1987-07-14,120
15,1987-07-15,120
16,1987-07-18,121
17,1987-07-20,122
18,1987-07-24,123
19,1987-07-25,123
20,1987-07-27,123
21,1987-07-29,124
22,1987-07-30,124
23,1987-08-04,100
24,1987-08-07,145
25,1987-08-09,145
26,1987-08-15,146
27,1987-08-16,146
28,1987-08-17,146
29,1987-08-19,147
30,1987-08-21,147
31,1987-08-22,147
32,1987-08-24,148
33,1987-08-25,148
34,1987-08-29,148
35,1987-08-31,149
36,1987-09-04,149
37,1987-09-05,120
38,1987-09-08,120
39,1987-09-09,121
40,1987-09-10,121
41,1987-09-16,122
42,1987-09-17,123
43,1987-09-19,123
44,1987-09-23,124
45,1987-09-24,124
46,1987-09-28,101
47,1987-09-30,101
