,HIRE_DATE,DEPARTMENT_ID
0,1987-06-17,90
1,1987-09-30,110
2,1987-08-24,80
3,1987-07-01,30
4,1987-08-04,80
5,1987-08-25,80
6,1987-08-07,80
7,1987-08-19,80
8,1987-06-20,60
9,1987-06-26,100
10,1987-08-31,80
11,1987-07-08,50
12,1987-08-09,80
13,1987-08-15,80
14,1987-06-29,100
15,1987-06-28,100
16,1987-08-16,80
17,1987-08-17,80
18,1987-06-30,100
19,1987-08-21,80
20,1987-07-10,50
21,1987-09-28,40
22,1987-08-22,80
23,1987-09-04,80
24,1987-08-29,80
25,1987-06-22,60
26,1987-06-24,60
27,1987-09-09,50
28,1987-09-10,50
29,1987-09-17,50
30,1987-07-24,50
31,1987-07-20,50
32,1987-07-25,50
33,1987-09-05,50
34,1987-09-19,50
35,1987-07-02,30
36,1987-07-29,50
37,1987-07-03,30
38,1987-07-04,30
39,1987-09-08,50
40,1987-07-30,50
41,1987-09-23,50
42,1987-09-24,50
43,1987-07-18,50
44,1987-07-27,50
45,1987-09-16,50
46,1987-07-14,50
47,1987-07-15,50
