,HIRE_DATE,SALARY
0,1987-06-17,24000
1,1987-06-18,17000
2,1987-06-19,17000
3,1987-06-20,9000
4,1987-06-21,6000
5,1987-06-22,4800
6,1987-06-23,4800
7,1987-06-24,4200
8,1987-06-25,12000
9,1987-06-26,9000
10,1987-06-27,8200
11,1987-06-30,6900
12,1987-07-01,11000
13,1987-07-02,3100
14,1987-07-03,2900
15,1987-07-04,2800
16,1987-07-05,2600
17,1987-07-06,2500
18,1987-07-10,6500
19,1987-07-11,5800
20,1987-07-12,3200
21,1987-07-13,2700
22,1987-07-15,2200
23,1987-07-16,3300
24,1987-07-19,2100
25,1987-07-20,3300
26,1987-07-22,2400
27,1987-07-23,2200
28,1987-07-24,3600
29,1987-07-25,3200
30,1987-07-26,2700
31,1987-07-27,2500
32,1987-07-28,3500
33,1987-07-29,3100
34,1987-07-30,2600
35,1987-07-31,2500
36,1987-08-01,14000
37,1987-08-02,13500
38,1987-08-03,12000
39,1987-08-04,11000
40,1987-08-05,10500
41,1987-08-06,10000
42,1987-08-07,9500
43,1987-08-08,9000
44,1987-08-09,8000
45,1987-08-10,7500
46,1987-08-11,7000
47,1987-08-12,10000
48,1987-08-13,9500
49,1987-08-14,9000
50,1987-08-15,8000
51,1987-08-16,7500
52,1987-08-17,7000
53,1987-08-18,10500
54,1987-08-19,9500
55,1987-08-21,6800
56,1987-08-22,6400
57,1987-08-24,11500
58,1987-08-25,10000
59,1987-08-26,9600
60,1987-08-28,7300
61,1987-08-29,6100
62,1987-08-30,11000
63,1987-08-31,8800
64,1987-09-01,8600
65,1987-09-02,8400
66,1987-09-04,6200
67,1987-09-05,3200
68,1987-09-06,3100
69,1987-09-08,2800
70,1987-09-09,4200
71,1987-09-10,4100
72,1987-09-11,3400
73,1987-09-12,3000
74,1987-09-13,3800
75,1987-09-14,3600
76,1987-09-16,2500
77,1987-09-17,4000
78,1987-09-18,3900
79,1987-09-20,2800
80,1987-09-21,3100
81,1987-09-22,3000
82,1987-09-23,2600
83,1987-09-24,2600
84,1987-09-25,4400
85,1987-09-27,6000
86,1987-09-28,6500
87,1987-09-30,12000
