,SALARY,DEPARTMENT_ID
0,24000,90
1,12000,110
2,11500,80
3,11000,30
4,11000,80
5,10000,80
6,9500,80
7,9500,80
8,9000,60
9,9000,100
10,8800,80
11,8200,50
12,8000,80
13,8000,80
14,7800,100
15,7700,100
16,7500,80
17,7000,80
18,6900,100
19,6800,80
20,6500,50
21,6500,40
22,6400,80
23,6200,80
24,6100,80
25,4800,60
26,4200,60
27,4200,50
28,4100,50
29,4000,50
30,3600,50
31,3300,50
32,3200,50
33,3200,50
34,3200,50
35,3100,30
36,3100,50
37,2900,30
38,2800,30
39,2800,50
40,2600,50
41,2600,50
42,2600,50
43,2500,50
44,2500,50
45,2500,50
46,2400,50
47,2200,50
