,SALARY,COMMISSION_PCT
0,24000,0.0
1,12000,0.0
2,11500,0.25
3,11000,0.0
4,11000,0.30000000000000004
5,10000,0.2
6,9500,0.25
7,9500,0.15
8,9000,0.0
9,9000,0.0
10,8800,0.25
11,8200,0.0
12,8000,0.2
13,8000,0.30000000000000004
14,7800,0.0
15,7700,0.0
16,7500,0.30000000000000004
17,7000,0.25
18,6900,0.0
19,6800,0.1
20,6500,0.0
21,6500,0.0
22,6400,0.1
23,6200,0.1
24,6100,0.1
25,4800,0.0
26,4200,0.0
27,4200,0.0
28,4100,0.0
29,4000,0.0
30,3600,0.0
31,3300,0.0
32,3200,0.0
33,3200,0.0
34,3200,0.0
35,3100,0.0
36,3100,0.0
37,2900,0.0
38,2800,0.0
39,2800,0.0
40,2600,0.0
41,2600,0.0
42,2600,0.0
43,2500,0.0
44,2500,0.0
45,2500,0.0
46,2400,0.0
47,2200,0.0
