,SALARY,COMMISSION_PCT
0,24000,0.0
1,9000,0.0
2,6000,0.0
3,4800,0.0
4,4800,0.0
5,4200,0.0
6,12000,0.0
7,9000,0.0
8,8200,0.0
9,7700,0.0
10,7800,0.0
11,6900,0.0
12,3100,0.0
13,2900,0.0
14,2800,0.0
15,2600,0.0
16,2500,0.0
17,8000,0.0
18,8200,0.0
19,6500,0.0
20,5800,0.0
21,3200,0.0
22,2700,0.0
23,2400,0.0
24,2200,0.0
25,3300,0.0
26,2800,0.0
27,2500,0.0
28,2100,0.0
29,3300,0.0
30,2900,0.0
31,2400,0.0
32,2200,0.0
33,3600,0.0
34,3200,0.0
35,2700,0.0
36,2500,0.0
37,3500,0.0
38,3100,0.0
39,2600,0.0
40,2500,0.0
41,14000,0.4
42,13500,0.30000000000000004
43,12000,0.30000000000000004
44,11000,0.30000000000000004
45,10500,0.2
46,10000,0.30000000000000004
47,9500,0.25
48,9000,0.25
49,8000,0.2
50,7500,0.2
51,7000,0.15
52,10000,0.35000000000000003
53,9500,0.35000000000000003
54,9000,0.35000000000000003
55,8000,0.30000000000000004
56,7500,0.30000000000000004
57,7000,0.25
58,10500,0.25
59,9500,0.15
60,7200,0.1
61,6800,0.1
62,6400,0.1
63,6200,0.1
64,11500,0.25
65,10000,0.2
66,9600,0.2
67,7400,0.15
68,7300,0.15
69,6100,0.1
70,11000,0.30000000000000004
71,8800,0.25
72,8400,0.2
73,7000,0.15
74,6200,0.1
75,3200,0.0
76,3100,0.0
77,2500,0.0
78,2800,0.0
79,4200,0.0
80,4100,0.0
81,3400,0.0
82,3000,0.0
83,3800,0.0
84,3600,0.0
85,2900,0.0
86,2500,0.0
87,4000,0.0
88,3900,0.0
89,3200,0.0
90,2800,0.0
91,3100,0.0
92,3000,0.0
93,2600,0.0
94,2600,0.0
95,6000,0.0
96,6500,0.0
97,10000,0.0
98,12000,0.0
99,8300,0.0
