,MANAGER_ID,DEPARTMENT_ID
0,0,90
1,100,90
2,100,90
3,102,60
4,103,60
5,103,60
6,103,60
7,103,60
8,101,100
9,108,100
10,108,100
11,108,100
12,108,100
13,108,100
14,100,30
15,114,30
16,114,30
17,114,30
18,114,30
19,114,30
20,100,50
21,100,50
22,100,50
23,100,50
24,100,50
25,120,50
26,120,50
27,120,50
28,120,50
29,121,50
30,121,50
31,121,50
32,121,50
33,122,50
34,122,50
35,122,50
36,122,50
37,123,50
38,123,50
39,123,50
40,123,50
41,124,50
42,124,50
43,124,50
44,124,50
45,100,80
46,100,80
47,100,80
48,100,80
49,100,80
50,145,80
51,145,80
52,145,80
53,145,80
54,145,80
55,145,80
56,146,80
57,146,80
58,146,80
59,146,80
60,146,80
61,146,80
62,147,80
63,147,80
64,147,80
65,147,80
66,147,80
67,147,80
68,148,80
69,148,80
70,148,80
71,148,80
72,148,80
73,148,80
74,149,80
75,149,80
76,149,80
77,149,80
78,149,0
79,149,80
80,120,50
81,120,50
82,120,50
83,120,50
84,121,50
85,121,50
86,121,50
87,121,50
88,122,50
89,122,50
90,122,50
91,122,50
92,123,50
93,123,50
94,123,50
95,123,50
96,124,50
97,124,50
98,124,50
99,124,50
100,101,10
101,100,20
102,201,20
103,101,40
104,101,70
105,101,110
106,205,110
