,COMMISSION_PCT,DEPARTMENT_ID
0,0.0,90
1,0.0,60
2,0.0,60
3,0.0,60
4,0.0,60
5,0.0,60
6,0.0,100
7,0.0,100
8,0.0,100
9,0.0,100
10,0.0,100
11,0.0,100
12,0.0,30
13,0.0,30
14,0.0,30
15,0.0,30
16,0.0,30
17,0.0,50
18,0.0,50
19,0.0,50
20,0.0,50
21,0.0,50
22,0.0,50
23,0.0,50
24,0.0,50
25,0.0,50
26,0.0,50
27,0.0,50
28,0.0,50
29,0.0,50
30,0.0,50
31,0.0,50
32,0.0,50
33,0.0,50
34,0.0,50
35,0.0,50
36,0.0,50
37,0.0,50
38,0.0,50
39,0.0,50
40,0.0,50
41,0.4,80
42,0.30000000000000004,80
43,0.30000000000000004,80
44,0.30000000000000004,80
45,0.2,80
46,0.30000000000000004,80
47,0.25,80
48,0.25,80
49,0.2,80
50,0.2,80
51,0.15,80
52,0.35000000000000003,80
53,0.35000000000000003,80
54,0.35000000000000003,80
55,0.30000000000000004,80
56,0.30000000000000004,80
57,0.25,80
58,0.25,80
59,0.15,80
60,0.1,80
61,0.1,80
62,0.1,80
63,0.1,80
64,0.25,80
65,0.2,80
66,0.2,80
67,0.15,80
68,0.15,80
69,0.1,80
70,0.30000000000000004,80
71,0.25,80
72,0.2,80
73,0.15,0
74,0.1,80
75,0.0,50
76,0.0,50
77,0.0,50
78,0.0,50
79,0.0,50
80,0.0,50
81,0.0,50
82,0.0,50
83,0.0,50
84,0.0,50
85,0.0,50
86,0.0,50
87,0.0,50
88,0.0,50
89,0.0,50
90,0.0,50
91,0.0,50
92,0.0,50
93,0.0,50
94,0.0,50
95,0.0,20
96,0.0,40
97,0.0,70
98,0.0,110
99,0.0,110
