,SALARY,MANAGER_ID
0,24000,0
1,17000,100
2,17000,100
3,9000,102
4,6000,103
5,4800,103
6,4800,103
7,4200,103
8,12000,101
9,9000,108
10,8200,108
11,7700,108
12,7800,108
13,6900,108
14,11000,100
15,3100,114
16,2900,114
17,2800,114
18,2600,114
19,2500,114
20,8000,100
21,8200,100
22,7900,100
23,6500,100
24,5800,100
25,3200,120
26,2700,120
27,2400,120
28,2200,120
29,3300,121
30,2800,121
31,2500,121
32,2100,121
33,3300,122
34,2900,122
35,2400,122
36,2200,122
37,3600,123
38,3200,123
39,2700,123
40,2500,123
41,3500,124
42,3100,124
43,2600,124
44,2500,124
45,14000,100
46,13500,100
47,12000,100
48,11000,100
49,10500,100
50,10000,145
51,9500,145
52,9000,145
53,8000,145
54,7500,145
55,7000,145
56,10000,146
57,9500,146
58,9000,146
59,8000,146
60,7500,146
61,7000,146
62,10500,147
63,9500,147
64,7200,147
65,6800,147
66,6400,147
67,6200,147
68,11500,148
69,10000,148
70,9600,148
71,7400,148
72,7300,148
73,6100,148
74,11000,149
75,8800,149
76,8600,149
77,8400,149
78,7000,149
79,6200,149
80,3200,120
81,3100,120
82,2500,120
83,2800,120
84,4200,121
85,4100,121
86,3400,121
87,3000,121
88,3800,122
89,3600,122
90,2900,122
91,2500,122
92,4000,123
93,3900,123
94,3200,123
95,2800,123
96,3100,124
97,3000,124
98,2600,124
99,2600,124
100,4400,101
101,13000,100
102,6000,201
103,10000,101
104,12000,101
105,8300,205
