,date,COUNT(date)
0,2015-08-28,4
1,2015-08-27,4
2,2015-08-26,1
3,2015-08-17,2
4,2015-08-16,4
5,2015-08-15,5
6,2015-08-13,1
7,2015-08-08,1
8,2015-07-29,1
9,2015-07-28,5
10,2015-07-27,3
11,2015-07-20,3
12,2015-07-19,4
13,2015-07-01,1
14,2015-06-30,4
15,2015-06-25,2
16,2015-06-12,1
17,2015-06-08,5
18,2015-05-03,1
19,2015-05-02,1
20,2015-05-01,1
21,2015-04-30,4
22,2015-04-27,1
23,2015-03-14,1
24,2015-02-27,1
25,2015-01-27,1
26,2014-10-18,1
27,2014-10-13,1
28,2014-10-12,5
29,2014-10-06,1
30,2014-10-05,5
31,2014-10-04,5
32,2014-10-03,5
33,2014-10-02,5
34,2014-10-01,2
35,2014-09-11,1
36,2014-09-10,2
37,2014-09-01,3
38,2014-08-30,1
39,2014-07-27,1
40,2014-07-26,1
41,2014-07-25,5
42,2014-07-24,2
43,2014-07-14,1
44,2014-06-30,4
45,2014-06-29,2
46,2014-06-18,4
47,2014-06-14,2
48,2014-06-12,1
49,2014-06-09,2
50,2014-06-08,5
51,2014-05-15,4
52,2014-05-14,5
53,2014-05-13,5
54,2014-05-12,4
55,2014-05-01,4
56,2014-04-30,5
57,2014-04-29,4
58,2014-04-08,1
59,2013-09-19,3
60,2013-09-09,2
61,2013-09-08,1
62,2013-09-07,5
63,2013-09-06,4
64,2013-08-30,3
