,SALARY,COMMISSION_PCT
0,24000,0.0
1,17000,0.0
2,17000,0.0
3,9000,0.0
4,6000,0.0
5,4800,0.0
6,4800,0.0
7,4200,0.0
8,12000,0.0
9,9000,0.0
10,8200,0.0
11,7700,0.0
12,7800,0.0
13,6900,0.0
14,11000,0.0
15,3100,0.0
16,2900,0.0
17,2800,0.0
18,2600,0.0
19,2500,0.0
20,8000,0.0
21,8200,0.0
22,7900,0.0
23,6500,0.0
24,5800,0.0
25,3200,0.0
26,2700,0.0
27,2400,0.0
28,2200,0.0
29,3300,0.0
30,2800,0.0
31,2500,0.0
32,2100,0.0
33,3300,0.0
34,2900,0.0
35,2400,0.0
36,2200,0.0
37,3600,0.0
38,3200,0.0
39,2700,0.0
40,2500,0.0
41,3500,0.0
42,3100,0.0
43,2600,0.0
44,2500,0.0
45,14000,0.4
46,13500,0.30000000000000004
47,12000,0.30000000000000004
48,11000,0.30000000000000004
49,10500,0.2
50,10000,0.30000000000000004
51,9500,0.25
52,9000,0.25
53,8000,0.2
54,7500,0.2
55,7000,0.15
56,10000,0.35000000000000003
57,9500,0.35000000000000003
58,9000,0.35000000000000003
59,8000,0.30000000000000004
60,7500,0.30000000000000004
61,7000,0.25
62,10500,0.25
63,9500,0.15
64,7200,0.1
65,6800,0.1
66,6400,0.1
67,6200,0.1
68,11500,0.25
69,10000,0.2
70,9600,0.2
71,7400,0.15
72,7300,0.15
73,6100,0.1
74,11000,0.30000000000000004
75,8800,0.25
76,8600,0.2
77,8400,0.2
78,7000,0.15
79,6200,0.1
80,3200,0.0
81,3100,0.0
82,2500,0.0
83,2800,0.0
84,4200,0.0
85,4100,0.0
86,3400,0.0
87,3000,0.0
88,3800,0.0
89,3600,0.0
90,2900,0.0
91,2500,0.0
92,4000,0.0
93,3900,0.0
94,3200,0.0
95,2800,0.0
96,3100,0.0
97,3000,0.0
98,2600,0.0
99,2600,0.0
100,4400,0.0
101,13000,0.0
102,6000,0.0
103,6500,0.0
104,10000,0.0
105,12000,0.0
106,8300,0.0
