,COMMISSION_PCT,DEPARTMENT_ID
0,0.0,90
1,0.0,110
2,0.25,80
3,0.0,30
4,0.30000000000000004,80
5,0.2,80
6,0.25,80
7,0.15,80
8,0.0,60
9,0.0,100
10,0.25,80
11,0.0,50
12,0.2,80
13,0.30000000000000004,80
14,0.0,100
15,0.0,100
16,0.30000000000000004,80
17,0.25,80
18,0.0,100
19,0.1,80
20,0.0,50
21,0.0,40
22,0.1,80
23,0.1,80
24,0.1,80
25,0.0,60
26,0.0,60
27,0.0,50
28,0.0,50
29,0.0,50
30,0.0,50
31,0.0,50
32,0.0,50
33,0.0,50
34,0.0,50
35,0.0,30
36,0.0,50
37,0.0,30
38,0.0,30
39,0.0,50
40,0.0,50
41,0.0,50
42,0.0,50
43,0.0,50
44,0.0,50
45,0.0,50
46,0.0,50
47,0.0,50
