,HIRE_DATE,SALARY
0,1987-06-17,24000
1,1987-09-30,12000
2,1987-08-24,11500
3,1987-07-01,11000
4,1987-08-04,11000
5,1987-08-25,10000
6,1987-08-07,9500
7,1987-08-19,9500
8,1987-06-20,9000
9,1987-06-26,9000
10,1987-08-31,8800
11,1987-07-08,8200
12,1987-08-09,8000
13,1987-08-15,8000
14,1987-06-29,7800
15,1987-06-28,7700
16,1987-08-16,7500
17,1987-08-17,7000
18,1987-06-30,6900
19,1987-08-21,6800
20,1987-07-10,6500
21,1987-09-28,6500
22,1987-08-22,6400
23,1987-09-04,6200
24,1987-08-29,6100
25,1987-06-22,4800
26,1987-06-24,4200
27,1987-09-09,4200
28,1987-09-10,4100
29,1987-09-17,4000
30,1987-07-24,3600
31,1987-07-20,3300
32,1987-07-25,3200
33,1987-09-05,3200
34,1987-09-19,3200
35,1987-07-02,3100
36,1987-07-29,3100
37,1987-07-03,2900
38,1987-07-04,2800
39,1987-09-08,2800
40,1987-07-30,2600
41,1987-09-23,2600
42,1987-09-24,2600
43,1987-07-18,2500
44,1987-07-27,2500
45,1987-09-16,2500
46,1987-07-14,2400
47,1987-07-15,2200
