,long,avg(T2.duration)
0,-121.901782,544.7611940298508
1,-121.888979,885.0
2,-121.894902,378.28
3,-121.8932,980.0714285714287
4,-121.894074,840.225
5,-121.886943,529.0909090909091
6,-121.885831,682.3333333333334
7,-121.894715,1230.655172413793
8,-121.886995,1123.4
9,-121.88566000000002,810.5416666666665
10,-121.883891,711.7777777777777
11,-121.88993700000002,616.4
12,-121.900084,608.8333333333334
13,-121.877349,3597.095238095238
14,-122.226904,3909.0
15,-122.232089,2643.871794871795
16,-122.227424,741.0
17,-122.203288,979.0666666666667
18,-122.223492,555.4
19,-122.081896,563.0333333333333
20,-122.07671299999998,714.8062015503875
21,-122.106758,380.4090909090909
22,-122.066553,918.1315789473683
23,-122.108338,667.5925925925926
24,-122.083678,1082.7142857142858
25,-122.099076,699.7
26,-122.164759,1653.3255813953488
27,-122.163093,2643.6
28,-122.142805,1423.842105263158
29,-122.159504,1164.1153846153845
30,-122.13777749999998,872.2222222222223
31,-122.408433,1245.5836909871246
32,-122.39997,906.0827586206897
33,-122.398436,1067.6629213483143
34,-122.402923,524.774834437086
35,-122.404767,1497.7671232876712
36,-122.403452,825.1928571428572
37,-122.398525,1817.221649484536
38,-122.390637,655.7166666666667
39,-122.394203,1802.6721991701245
40,-122.391034,938.7894736842104
41,-122.388013,766.0746268656717
42,-122.394643,535.0488372093023
43,-122.39708600000002,752.6637554585153
44,-122.405127,551.4051282051282
45,-122.418235,1774.6315789473686
46,-122.418603,734.3861386138614
47,-122.403234,1630.002267573696
48,-122.39028799999998,905.3340611353713
49,-122.39623600000002,399.6787330316742
50,-122.398108,414.5117370892018
51,-122.392738,512.8461538461538
52,-122.402717,568.9297752808989
53,-122.418954,912.8475609756098
54,-122.417385,1139.6389891696754
55,-122.401014,561.7394957983194
56,-122.39547,725.3219284603423
57,-122.39526,801.9405320813771
58,-122.408499,765.4458598726114
59,-122.411748,1276.7208121827412
60,-122.407245,1423.375
61,-122.394434,890.9441964285713
62,-122.399051,655.2933333333333
63,-122.404966,1664.8505338078294
64,-122.400811,786.4408284023668
65,-121.905733,862.4666666666667
66,-122.40086200000002,1044.7237569060774
67,-122.236234,253.33333333333331
68,-121.895617,556.0
