,MANAGER_ID,DEPARTMENT_ID
0,0,90
1,102,60
2,103,60
3,103,60
4,103,60
5,103,60
6,101,100
7,108,100
8,108,100
9,108,100
10,108,100
11,108,100
12,114,30
13,114,30
14,114,30
15,114,30
16,114,30
17,100,50
18,100,50
19,100,50
20,100,50
21,120,50
22,120,50
23,120,50
24,120,50
25,121,50
26,121,50
27,121,50
28,121,50
29,122,50
30,122,50
31,122,50
32,122,50
33,123,50
34,123,50
35,123,50
36,123,50
37,124,50
38,124,50
39,124,50
40,124,50
41,100,80
42,100,80
43,100,80
44,100,80
45,100,80
46,145,80
47,145,80
48,145,80
49,145,80
50,145,80
51,145,80
52,146,80
53,146,80
54,146,80
55,146,80
56,146,80
57,146,80
58,147,80
59,147,80
60,147,80
61,147,80
62,147,80
63,147,80
64,148,80
65,148,80
66,148,80
67,148,80
68,148,80
69,148,80
70,149,80
71,149,80
72,149,80
73,149,0
74,149,80
75,120,50
76,120,50
77,120,50
78,120,50
79,121,50
80,121,50
81,121,50
82,121,50
83,122,50
84,122,50
85,122,50
86,122,50
87,123,50
88,123,50
89,123,50
90,123,50
91,124,50
92,124,50
93,124,50
94,124,50
95,201,20
96,101,40
97,101,70
98,101,110
99,205,110
